,Car_Name,Car_details,Endine_disp,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Gross_Weight,top_speed,Ownership,Year_of_Manufacture,Steering_Type,Car_price
88,2018 Honda City i-VTEC V,"49,364 kms • Petrol • Manual",1497 ,17.4,5,Grey,117.6,Ventilated Disc,Drum,510,1495,1695,4440,1436,189 kmph,First Owner,2018,Power,₹ 8.96 Lakh
89,2016 Maruti Ciaz ZXi,"27,782 kms • Petrol • Manual",1373 ,20.73,5,Red,91.1,Ventilated Disc,Drum,510-litres,1485,1730,4490,1490,190 kmph,First Owner,2016,Power,₹ 7.90 Lakh
90,2010 Maruti Ritz ZXi,"62,248 kms • Petrol • Manual",1197 ,18.5,5,Grey,85.80,Ventilated Disc,Drum,236-liters,1620,1680,3775,1430,156 Kmph,First Owner,2010,Power,₹ 3.34 Lakh
91,2017 Honda Amaze VX Petrol BSIV,"28,982 kms • Petrol • Manual",1199 ,19.5,5,Maroon,88.76,Disc,Drum,420Liters,1501,1695,3995,-,160 Kmph,Second Owner,2017,Power,₹ 5.57 Lakh
92,2019 MG Hector Super MT BSIV,"31,106 kms • Petrol • Manual",1451 ,14.16,5,Silver,141,Disc,Disc,587,1760,1835,4655,-,-,Second Owner,2019,-,₹ 12.99 Lakh
93,2021 Maruti Ignis Alpha AMT,"11,473 kms • Petrol • Automatic",1197 ,20.89,5,White,81.80,Disc,Drum,260,1595,1690,3700,-,-,First Owner,2021,Electric,₹ 8.18 Lakh
94,2018 Ford Ecosport 1.5 Petrol Titanium BSIV,"50,276 kms • Petrol • Manual",1497 ,17,5,Black,121.31,Ventilated Disc,Drum,352-litres,1647,1765,3998,1660Kg,-,Second Owner,2018,Power,₹ 8.19 Lakh
95,2020 Renault KWID 1.0 RXT AMT Opt,"19,050 kms • Petrol • Automatic",999 ,22,5,Red,67,Disc,Drum,279,1474,1579,3731,-,-,First Owner,2020,Electric,₹ 5.59 Lakh
96,2019 Hyundai Venue SX Plus Turbo DCT BSIV,"43,353 kms • Petrol • Automatic",998 ,18.15,5,Blue,118.35,Disc,Drum,350,1605 ,1770 ,3995 ,-,-,First Owner,2019,Power,₹ 10.21 Lakh
97,2014 Hyundai i20 Magna Optional 1.2,"74,548 kms • Petrol • Manual",1197 ,18.5,5,Silver,82.9,Disc,Drum,-,1505,1710,3995,-,-,Second Owner,2014,Power,₹ 4.25 Lakh
98,2017 Honda Jazz 1.2 V i VTEC,"53,328 kms • Petrol • Manual",1199 ,18.7,5,Brown,88.7,Disc,Drum,354-litres,1544,1694,3955,-,172 Kmph,First Owner,2017,Power,₹ 6.55 Lakh
99,2012 Maruti Swift Dzire VXi,"45,149 kms • Petrol • Manual",1298 ,17.5,5,Grey,85.8,Ventilated Disc,Drum,464 litres,1530,1690,4160,-,-,Second Owner,2012,Power,₹ 4.80 Lakh
100,2014 Toyota Fortuner 4x2 AT,"96,000 kms • Diesel • Automatic",2982 ,12.55,7,White,168.5,Ventilated Disc,Drum,296-litres,1850,1840,4705,2510,176 Kmph,First Owner,2014,Power,₹ 14.25 Lakh
101,2014 Toyota Fortuner 4x2 AT,"96,600 kms • Diesel • Automatic",2982 ,12.55,7,White,168.5,Ventilated Disc,Drum,296-litres,1850,1840,4705,2510,176 Kmph,First Owner,2014,Power,₹ 14.26 Lakh
102,2014 Toyota Fortuner 4x2 AT,"98,000 kms • Diesel • Automatic",2982 ,12.55,7,White,168.5,Ventilated Disc,Drum,296-litres,1850,1840,4705,2510,176 Kmph,First Owner,2014,Power,₹ 14.25 Lakh
103,2019 Hyundai Grand i10 1.2 Kappa Asta,"44,803 kms • Petrol • Manual",1197 ,18.9,5,Maroon,81.86,Disc,Drum,,,,,-,,Second Owner,2019,,₹ 5.98 Lakh
