,Fuel_type,Running_in_kms,Endine_disp,Gear_transmission,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,height,width,length,Weight,top_speed,Brand,Model,car_price,city_name,Car_age
9519,Diesel,25700.0,1996.0,Manual,12.4,6.0,White,215.01,Disc,Disc,1867.0,1926.0,4985.0,,,MG,Gloster,3700000.0,pune,0.0
9520,Petrol,29984.0,1197.0,Automatic,20.4,5.0,Grey,81.8,Ventilated Disc,Drum,1530.0,1735.0,3840.0,1315.0,165.0,Maruti,Swift,550000.0,pune,6.0
9521,Petrol,12000.0,1197.0,Manual,21.4,5.0,White,83.1,Disc,Drum,1510.0,1745.0,3995.0,1340.0,180.0,Maruti,Baleno,725000.0,pune,1.0
9522,Petrol,44567.0,1197.0,Automatic,17.21,5.0,White,103.6,Disc,Drum,1469.0,1682.0,3971.0,1580.0,190.0,Volkswagen,Polo,583000.0,pune,6.0
9523,Diesel,133000.0,2179.0,Automatic,15.1,7.0,Brown,140.0,Disc & Caliper Type,Disc & Caliper Type,1785.0,1890.0,4585.0,2450.0,175.0,Mahindra,XUV500,800000.0,pune,7.0
9524,Diesel,93000.0,2993.0,Automatic,11.5,5.0,Blue,235.0,Disc,Disc,1468.0,1846.0,4841.0,2160.0,248.0,BMW,5 Series,775000.0,pune,13.0
9525,Petrol,9539.0,1197.0,Manual,19.56,5.0,White,81.8,Disc,Drum,1510.0,1745.0,3995.0,1360.0,,Toyota,Glanza,725000.0,pune,2.0
9526,Diesel,110000.0,1248.0,Manual,17.8,5.0,White,76.0,Ventilated Disc,Drum,1495.0,1687.0,3987.0,,155.0,Fiat,Grande Punto,200000.0,pune,10.0
9527,Diesel,30828.0,1248.0,Manual,26.21,5.0,Ps red,88.5,Ventilated Disc,Drum,1485.0,1730.0,4490.0,1585.0,160.0,Maruti,Ciaz,685000.0,pune,6.0
9528,Diesel,46000.0,1995.0,Manual,18.88,5.0,White,184.0,Disc,Disc,1429.0,2031.0,4624.0,,235.0,BMW,3 Series,1850000.0,pune,7.0
9529,Diesel,68709.0,1598.0,Automatic,20.5,5.0,Silver,103.5,Disc,Drum,1466.0,1699.0,4386.0,1757.0,,Skoda,Rapid,409999.99999999994,pune,9.0
9530,Diesel,98500.0,1498.0,Automatic,25.8,5.0,Brown,98.6,Disc,Drum,1505.0,1680.0,3990.0,,170.0,Honda,Amaze,500000.0,pune,6.0
9531,CNG,64000.0,998.0,Manual,33.54,5.0,Brown,67.04,Disc,Drum,1675.0,1620.0,3655.0,1340.0,152.0,Maruti,Wagon R,325000.0,pune,9.0
9532,Diesel,34000.0,1995.0,Automatic,17.05,5.0,Blue,184.0,Ventilated Disc,Ventilated Disc,1545.0,2058.0,4477.0,,205.0,BMW,X1,3300000.0,pune,2.0
9533,Diesel,68001.0,1364.0,Automatic,23.59,5.0,White,67.05,Ventilated Disc,Drum,1510.0,1695.0,4265.0,,170.0,Toyota,Etios,470000.0,pune,8.0
9534,Petrol,82447.0,1197.0,Automatic,17.5,5.0,Golden,85.8,Ventilated Disc,Drum,1530.0,1690.0,4160.0,,,Maruti,Swift Dzire,300000.0,pune,11.0
