,Car_Name,Fuel_type,Running_in_kms,Endine_disp,Gear_transmission,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Weight,Insp_score,top_speed,City_url,Car_price
8326,2017 Hyundai Grand i10,Petrol,"54,803 kms",1197,Manual,18.9 kmpl,5,Grey,81.86,Disc,Drum,-,1520,1660,3765,-,-,165 Kmph,https://www.cardekho.com/used-cars+in+mumbai,5.25 Lakh
8327,2017 Honda BR-V,Petrol,"30,000 kms",1497,Manual,15.4 kmpl,7,White,117.3,Disc,Drum,-,1666,1735,4456,-,-,-,https://www.cardekho.com/used-cars+in+mumbai,7.95 Lakh
8328,2013 Hyundai i10,Petrol,"28,000 kms",1197,Manual,16.95 kmpl,5,Grey,78.9,Ventilated Disc,Drum,-,1550,1595,3585,-,-,-,https://www.cardekho.com/used-cars+in+mumbai,3.5 Lakh
8329,2017 Maruti Swift Dzire,Diesel,"15,000 kms",1248,Manual,26.59 kmpl,5,Brown,74,Ventilated Disc,Drum,-,1555,1695,3995,1505,-,169 Kmph,https://www.cardekho.com/used-cars+in+mumbai,8.1 Lakh
8330,2019 Mini Cooper Countryman,Petrol,"18,000 kms",1998,Manual,14.41 kmpl,5,Blue,189.08,Disc,Drum,-,1557,1822,4299,2050,-,225 Kmph,https://www.cardekho.com/used-cars+in+mumbai,36 Lakh
8331,2014 Toyota Innova,Diesel,"1,24,000 kms",2494,Manual,12.8 kmpl,8,Grey,102,Ventilated Disc,Drum,-,"1,755","1,770","4,580",2300,-,151 kmph,https://www.cardekho.com/used-cars+in+mumbai,8.65 Lakh
8332,2016 Hyundai i10,Petrol,"31,000 kms",1197,Manual,20.36 kmpl,5,White,78.9,Ventilated Disc,Drum,-,1550,1595,3565,-,-,-,https://www.cardekho.com/used-cars+in+mumbai,5.35 Lakh
8333,2015 BMW 3 Series,Diesel,"65,000 kms",1995,Manual,22.69 kmpl,5,White,190,Disc,Disc,-,1429,1811,4824,-,-,230 Kmph,https://www.cardekho.com/used-cars+in+mumbai,18.25 Lakh
8334,2017 Audi Q3,Diesel,"51,000 kms",1968,Manual,15.17 kmpl,5,Blue,181,Disc,Disc,-,1608,1831,4388,2225Kg,-,219 kmph,https://www.cardekho.com/used-cars+in+mumbai,22.75 Lakh
8335,2013 Honda Brio,Petrol,"33,000 kms",1198,Manual,16.5 kmpl,5,Blue,86.8,Disc,Drum,-,1500,1680,3610,-,-,185 Kmph,https://www.cardekho.com/used-cars+in+mumbai,4.95 Lakh
