,Car_Name,Car_details,Endine_disp,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Gross_Weight,top_speed,Ownership,Year_of_Manufacture,Steering_Type,Car_price
1058,2013 Hyundai Elantra CRDi SX AT,"1,14,000 kms • Diesel • Automatic",1582 ,22.7,5,Golden,126.2,Disc,Disc,420-litres,1470,1775,4550,1640,191 Kmph,Second Owner,2013,Power,₹ 7.45 Lakh
1059,2017 Audi Q3 35 TDI Quattro Premium Plus,"66,000 kms • Diesel • Automatic",1968 ,15.73,5,White,174.33,Ventilated Disc,Drum,460-litres,1608,2019,4385,2185,212 Kmph,First Owner,2017,Power,₹ 26.45 Lakh
1060,2017 Honda City V MT,"25,196 kms • Petrol • Manual",1497 ,17.4,5,Grey,117.60,Ventilated Disc,Drum,510,1495,1695,4440,1436,-,First Owner,2017,Electric,₹ 8.13 Lakh
1061,2014 Hyundai EON Sportz,"68,622 kms • Petrol • Manual",814 ,21.1,5,Grey,55.2,Disc,Drum,215-litres,1500,1550,3495,-,135 Kmph,Second Owner,2014,Power,₹ 3.01 Lakh
1062,2021 Tata Altroz XZ Option Diesel,"22,399 kms • Diesel • Manual",1497 ,23.03,5,White,88.77,Disc,Drum,345,1523,1755,3990,-,-,First Owner,2021,Electric,₹ 9.20 Lakh
1063,2020 Renault Duster RXZ,"11,151 kms • Petrol • Manual",1498 ,16.42,5,Blue,104.55,Disc,Drum,475,1695,1822,4360,-,-,First Owner,2020,Power,₹ 11.30 Lakh
1064,2021 Toyota Glanza G,"24,241 kms • Petrol • Manual",1197 ,21.01,5,White,81.80,Disc,Drum,339,1510,1745,3995,1340,-,Second Owner,2021,Electric,₹ 8.44 Lakh
1065,2016 Maruti Swift Dzire VXI Optional,"21,580 kms • Petrol • Manual",1197 ,20.85,5,Grey,83.14,Ventilated Disc,Drum,320-liters,1555,1695,3995,1415,158 Kmph,First Owner,2016,Power,₹ 6.22 Lakh
1066,2020 Maruti SX4 S Cross Alpha,"13,416 kms • Petrol • Manual",1462 ,18.55,5,Blue,103.25,Ventilated Disc,Solid Disc,375,1595,1785,4300,1640,-,First Owner,2020,-,₹ 11.24 Lakh
1067,2018 Hyundai Xcent 1.2 VTVT SX,"38,534 kms • Petrol • Manual",1197 ,20.14,5,White,81.86,Disc,Drum,407,1520,1660,3995,-,172 Kmph,Second Owner,2018,Power,₹ 6.30 Lakh
1068,2019 Hyundai Venue SX Turbo BSIV,"81,834 kms • Petrol • Manual",998 ,18.27,5,Black,118.35,Disc,Drum,350 L,1605 ,1770 ,3995 ,-,-,First Owner,2019,Power,₹ 8.63 Lakh
1069,2015 Honda City i VTEC SV,"96,409 kms • Petrol • Manual",1497 ,17.4,5,Silver,117.3,Disc,Drum,510-litres,1495,1695,4440,-,195 Kmph,Second Owner,2015,Power,₹ 5.49 Lakh
1070,2020 Maruti Wagon R VXI 1.2,"19,091 kms • Petrol • Manual",1197 ,20.52,5,Green,81.80,Disc,Drum,341 Litres,1675 ,1620 ,3655 ,1340,-,First Owner,2020,Power,₹ 5.45 Lakh
1071,2018 Renault Captur 1.5 Diesel RXT,"44,732 kms • Diesel • Manual",1461 ,20.37,5,Red,108.45,Disc,Drum,392 Litres,1626 ,1813,4329,-,-,First Owner,2018,Power,₹ 8.63 Lakh
1072,2016 Ford Ecosport 1.5 Petrol Titanium AT,"1,20,127 kms • Petrol • Automatic",1496 ,14.7,5,White,120.69,Ventilated Disc,Drum,352-litres,1647,1765,3998,1705Kg,-,First Owner,2016,Electric,₹ 6.25 Lakh
1073,2017 Hyundai Creta 1.6 SX Automatic Diesel,"1,24,000 kms • Diesel • Automatic",1582 ,17.6,5,White,126.2,Disc,Drum,400,1665,1780,4270,-,-,First Owner,2017,Power,₹ 11.95 Lakh
1074,2012 Mercedes-Benz M-Class ML 350 4Matic,"80,000 kms • Diesel • Automatic",2987 ,-,5,White,165 [224] at 3800,Ventilated Disc,Disc,-,1779,1911,4781,2830,225 kmph,Second Owner,2012,Power,₹ 19.80 Lakh
1075,2011 BMW 5 Series 520d Sedan,"70,000 kms • Diesel • Automatic",1995 ,18.48,5,Golden,177,Ventilated discs,Ventilated discs,520 litres,1468,1846,4841,2160,226km/hr,Second Owner,2011,Power,₹ 14.90 Lakh
1076,2009 Honda Jazz Select Edition Mode,"92,038 kms • Petrol • Manual",1198 ,16,5,Blue,90(66),Disc,Drum,-,1535,1695,3900,-,165 kmph,First Owner,2009,Power,₹ 3.10 Lakh
1077,2018 Honda City i VTEC CVT VX,"48,979 kms • Petrol • Automatic",1497 ,18,5,White,117.3,Disc,Drum,510-litres,1495,1695,4440,-,195 Kmph,First Owner,2018,Power,₹ 10.50 Lakh
1078,2019 Kia Seltos HTK G,"57,668 kms • Petrol • Manual",1497 ,16.8,5,White,113.43,Disc,Disc,433,1645,1800,4315,-,-,First Owner,2019,Electric,₹ 11.35 Lakh
1079,2017 Hyundai Creta 1.6 VTVT SX Plus,"34,955 kms • Petrol • Manual",1591 ,13,5,White,121.3,Disc,Drum,400-litres,1630,1780,4270,-,-,Second Owner,2017,Power,₹ 11.15 Lakh
1080,2019 Ford Ecosport 1.5 Diesel Titanium Plus BSIV,"63,086 kms • Diesel • Manual",1498 ,23,5,Silver,98.96,Ventilated Disc,Drum,352-litres,1647,1765,3998,1690Kg,-,First Owner,2019,Power,₹ 11.07 Lakh
1081,2016 Honda Jazz 1.2 V i VTEC,"52,697 kms • Petrol • Manual",1199 ,18.7,5,Brown,88.7,Disc,Drum,354-litres,1544,1694,3955,-,172 Kmph,First Owner,2016,Power,₹ 6.18 Lakh
1082,2015 Maruti Baleno 1.3 Alpha,"51,983 kms • Diesel • Manual",1248 ,27.39,5,White,74,Disc,Drum,339-litres,1510,1745,3995,1430,170 Kmph,First Owner,2015,Power,₹ 6.95 Lakh
1083,2020 Hyundai Verna SX Opt Turbo,"47,383 kms • Petrol • Automatic",998 ,19.2,5,White,118.41,Disc,Disc,-,1475,1729,4440,-,-,First Owner,2020,Electric,₹ 14.75 Lakh
1084,2020 Renault Duster RXZ,"20,575 kms • Petrol • Manual",1498 ,16.42,5,Brown,104.55,Disc,Drum,475,1695,1822,4360,-,-,First Owner,2020,Power,₹ 10.63 Lakh
1085,2017 Ford Ecosport 1.5 Diesel Titanium BSIV,"1,02,143 kms • Diesel • Manual",1498 ,23,5,White,98.96,Ventilated Disc,Drum,352-litres,1647,1765,3998,1690Kg,-,First Owner,2017,Power,₹ 7.28 Lakh
1086,2016 Maruti SX4 S Cross DDiS 200 Zeta,"33,520 kms • Diesel • Manual",1248 ,23.65,5,White,88.5,Ventilated Disc,Solid Disc,353-litres,1595,1785,4300,1670,190 Kmph,First Owner,2016,Power,₹ 8.95 Lakh
1087,2020 Hyundai Grand i10 Nios Asta,"79,873 kms • Petrol • Manual",1197 ,20.7,5,Blue,81.86,Disc,Drum,-,1520,1680,3805,-,-,First Owner,2020,Electric,₹ 6.82 Lakh
1088,2018 Honda Jazz 1.5 V i DTEC,"61,666 kms • Diesel • Manual",1498 ,27.3,5,Red,98.6,Disc,Drum,354-litres,1544,1694,3955,-,172 Kmph,First Owner,2018,Power,₹ 6.20 Lakh
1089,2015 Hyundai i20 Asta 1.4 CRDi,"71,249 kms • Diesel • Manual",1396 ,22.54,5,Red,88.73,Disc,Drum,295-litres,1505,1734,3985,-,180 Kmph,Second Owner,2015,Power,₹ 6.42 Lakh
1090,2015 Honda City i VTEC V,"92,028 kms • Petrol • Manual",1497 ,17.4,5,Brown,117.3,Disc,Drum,510-litres,1495,1695,4440,-,195 Kmph,Third Owner,2015,Power,₹ 5.78 Lakh
1091,2017 Hyundai i20 Active 1.2 SX,"51,526 kms • Petrol • Manual",1197 ,17.19,5,Brown,81.86,Disc,Drum,285-litres,1555,1760,3995,-,160 Kmph,First Owner,2017,Power,₹ 6.40 Lakh
1092,2020 Mahindra Thar LX 4-Str Convert Top Diesel AT,"9,000 kms • Diesel • Automatic",2184 ,-,4,Red,130,Disc,Drum,-,1855,1855,3985,-,-,First Owner,2020,Power,₹ 18.25 Lakh
