,Endine_disp,Milage_in_km/ltr,Seating_cap,color,Max_power,front_brake_type,rear_brake_type,cargo_volume,height,width,length,Gross_Weight,top_speed,Ownership,Steering_Type,Car_price,Brand,Model,Running_kms,Fuel_type,Gear_Transmission,Car_age
98,1199.0,18.7,5.0,Brown,88.7,Disc,Drum,354.0,1544.0,1694.0,3955.0,1580.0,172.0,First Owner,Power,655000.0,honda,jazz 1.2 v i vtec,53328.0, Petrol , Manual,6.0
99,1298.0,17.5,5.0,Grey,85.8,Ventilated Disc,Drum,464.0,1530.0,1690.0,4160.0,1580.0,170.0,Second Owner,Power,480000.0,maruti,swift dzire vxi,45149.0, Petrol , Manual,11.0
100,2967.0,12.55,5.0,White,168.5,Ventilated Disc,Drum,296.0,1845.7999999999997,1840.0,4705.0,2510.0,176.0,First Owner,Power,1425000.0,toyota,fortuner 4x2 at,96000.0, Diesel , Automatic,9.0
101,2967.0,12.55,5.0,White,168.5,Ventilated Disc,Drum,296.0,1845.7999999999997,1840.0,4705.0,2510.0,176.0,First Owner,Power,1426000.0,toyota,fortuner 4x2 at,96600.0, Diesel , Automatic,9.0
102,2967.0,12.55,5.0,White,168.5,Ventilated Disc,Drum,296.0,1845.7999999999997,1840.0,4705.0,2510.0,176.0,First Owner,Power,1425000.0,toyota,fortuner 4x2 at,98000.0, Diesel , Automatic,9.0
103,1197.0,18.9,5.0,Maroon,81.86,Disc,Drum,350.0,1535.0,1735.0,3995.0,1580.0,170.0,Second Owner,Power,598000.0,hyundai,grand i10 1.2 kappa asta,44803.0, Petrol , Manual,4.0
104,1248.0,24.3,5.0,Orange,88.5,Ventilated Disc,Drum,328.0,1640.0,1790.0,3995.0,1680.0,172.0,First Owner,Power,778000.0,maruti,vitara brezza ldi,76473.0, Diesel , Manual,6.0
105,2967.0,12.55,5.0,White,168.5,Ventilated Disc,Drum,296.0,1845.7999999999997,1840.0,4705.0,2510.0,176.0,First Owner,Power,1420000.0,toyota,fortuner 4x2 at,95000.0, Diesel , Automatic,9.0
106,1197.0,18.5,5.0,White,85.8,Ventilated Disc,Drum,236.0,1620.0,1680.0,3775.0,1430.0,156.0,First Owner,Power,491000.0,maruti,ritz vxi,40543.0, Petrol , Manual,8.0
107,1373.0,20.73,5.0,Silver,91.1,Ventilated Disc,Drum,510.0,1535.0,1735.0,3995.0,1580.0,190.0,Second Owner,Power,612000.0,maruti,ciaz zxi,54745.0, Petrol , Manual,9.0
108,1373.0,19.12,5.0,Grey,91.1,Ventilated Disc,Drum,510.0,1485.0,1730.0,4490.0,1490.0,190.0,Second Owner,Power,575000.0,maruti,ciaz at vxi plus,63429.0, Petrol , Automatic,7.0
109,1197.0,18.3,5.0,Silver,94.68,Disc,Drum,350.0,1535.0,1735.0,3995.0,1580.0,170.0,Second Owner,Power,451999.99999999994,toyota,etios liva g,46249.0, Petrol , Manual,11.0
110,998.0,23.1,5.0,Grey,67.04,Ventilated Disc,Drum,235.0,1565.0,1635.0,3715.0,1250.0,150.0,First Owner,Power,539000.0,maruti,celerio zxi at optional,55178.0, Petrol , Automatic,6.0
111,1461.0,19.6,5.0,Red,108.45,Disc,Drum,475.0,1695.0,1822.0,4315.0,1806.0,168.0,Second Owner,Power,882000.0,renault,duster 110ps diesel rxz,59775.0, Diesel , Manual,7.0
112,1197.0,21.01,5.0,White,81.8,Disc,Drum,339.0,1510.0,1745.0,3995.0,1340.0,170.0,First Owner,Electric,863000.0000000001,toyota,glanza v,38111.0, Petrol , Manual,2.0
113,1462.0,17.03,5.0,Silver,103.26,Ventilated Disc,Drum,328.0,1640.0,1790.0,3995.0,1600.0,170.0,Second Owner,Electronic,902999.9999999999,maruti,vitara brezza vxi,39692.0, Petrol , Manual,3.0
114,1197.0,21.21,5.0,Red,81.8,Disc,Drum,268.0,1530.0,1735.0,3840.0,1315.0,170.0,Second Owner,Electric,686000.0,maruti,swift zxi plus,38804.0, Petrol , Manual,5.0
115,1462.0,17.99,5.0,Blue,103.2,Ventilated Disc,Drum,209.0,1700.0,1775.0,4445.0,1740.0,170.0,First Owner,Power,1288000.0,maruti,xl6 alpha at,18280.0, Petrol , Automatic,2.0
116,1197.0,18.9,5.0,Blue,82.0,Disc,Drum,256.0,1520.0,1660.0,3765.0,1580.0,165.0,First Owner,Power,501000.0,hyundai,grand i10 sportz,16687.0, Petrol , Manual,8.0
117,1199.0,18.7,5.0,White,88.7,Disc,Drum,354.0,1544.0,1694.0,3955.0,1580.0,172.0,Second Owner,Power,603000.0,honda,jazz 1.2 v i vtec,54761.0, Petrol , Manual,6.0
118,1198.0,17.0,5.0,Silver,73.75,Disc,Drum,330.0,1483.0,1682.0,3995.0,1580.0,170.0,First Owner,Power,555000.0,volkswagen,ameo 1.2 mpi highline,54732.0, Petrol , Manual,7.0
119,1498.0,16.42,5.0,Brown,104.55,Disc,Drum,475.0,1695.0,1822.0,4360.0,1580.0,170.0,First Owner,Power,918000.0,renault,duster rxs,66366.0, Petrol , Manual,3.0
120,1197.0,16.82,5.0,Grey,108.62,Disc,Disc,350.0,1627.0,1821.0,3995.0,1580.0,170.0,First Owner,Power,1169000.0,mahindra,xuv300 w8 option,7231.0, Petrol , Manual,2.0
121,1197.0,21.4,5.0,Blue,83.1,Disc,Drum,339.0,1510.0,1745.0,3995.0,1340.0,180.0,Second Owner,Power,621000.0,maruti,baleno 1.2 zeta,53080.0, Petrol , Manual,7.0
122,1248.0,22.9,5.0,Blue,74.0,Ventilated Disc,Drum,232.0,1530.0,1695.0,3850.0,1505.0,158.0,First Owner,Power,478000.0,maruti,swift vdi,86668.0, Diesel , Manual,11.0
123,1496.0,17.1,5.0,Red,105.94,Disc,Drum,476.0,1495.0,1730.0,4425.0,1580.0,170.0,First Owner,Power,795000.0,toyota,yaris j,39812.0, Petrol , Manual,4.0
124,1199.0,19.0,5.0,Red,88.76,Disc,Drum,420.0,1501.0,1695.0,3995.0,1580.0,140.0,Second Owner,Power,827999.9999999999,honda,amaze v cvt petrol bsiv,16265.0, Petrol , Automatic,5.0
